num_rooms;type;sqm;eur/sqm;year;elevator;condition
1;kt;31,5;2413;1974;on;hyvä
1;rt;37;3405;2018;ei;hyvä
1;kt;30;3683;1990;on;tyyd.
1;kt;35;2343;1981;on;tyyd.
1;kt;32;2656;1977;on;hyvä
1;kt;33;1439;1979;on;tyyd.
1;kt;34;2353;1982;on;
1;kt;29;3517;2003;on;
1;kt;48;2802;2006;on;hyvä
1;kt;36;2500;1982;on;
1;kt;35;2829;1988;on;tyyd.
1;kt;34;2015;1977;on;
2;kt;62,5;2160;1985;on;hyvä
2;kt;45;3467;2014;on;hyvä
2;kt;49;3408;2014;on;hyvä
2;kt;44;2205;1991;on;tyyd.
2;kt;56;1429;1979;on;
2;kt;56;1429;1983;on;tyyd.
2;kt;61;1525;1988;on;tyyd.
2;kt;58;1483;1974;on;hyvä
2;kt;58,5;2137;1985;on;hyvä
2;kt;57;1561;1979;on;tyyd.
2;kt;49;2367;2006;on;hyvä
2;kt;52;1731;1980;on;hyvä
2;kt;55,5;1351;1979;on;hyvä
2;kt;56;1313;1977;on;tyyd.
2;kt;61,5;1415;1976;on;hyvä
2;kt;58,5;1282;1975;on;hyvä
2;kt;60;1917;1990;on;hyvä
2;kt;50;3300;2015;on;hyvä
2;rt;56,5;2938;2018;ei;hyvä
2;kt;56;1080;1977;on;tyyd.
2;kt;52;2500;1995;on;
2;kt;44,5;2360;1991;ei;tyyd.
2;kt;58,5;1282;1975;on;hyvä
2;kt;66;1485;1980;on;tyyd.
2;kt;49;3541;2013;on;hyvä
2;kt;60;1467;1980;on;hyvä
2;kt;55,5;1667;1977;on;hyvä
2;kt;63;1690;1985;on;
2;kt;45;2711;1992;ei;hyvä
2;kt;57;1842;1979;on;hyvä
2;kt;58;1379;1974;on;hyvä
2;kt;60;1400;1980;on;hyvä
2;kt;41,5;2530;1995;on;hyvä
2;kt;54;1556;1976;on;tyyd.
2;kt;52;2192;1995;on;
2;kt;45;2456;1992;ei;hyvä
2;rt;64;2203;1982;ei;hyvä
2;kt;57;1413;1979;ei;tyyd.
2;kt;48;1438;1977;on;tyyd.
2;kt;59;1271;1975;on;
2;kt;62;1145;1975;on;tyyd.
2;kt;56;1839;1984;on;hyvä
2;kt;66;1765;1980;on;hyvä
2;rt;60;2667;2007;ei;hyvä
3;kt;75,5;1372;1973;on;hyvä
3;kt;65;3031;2014;on;hyvä
3;kt;79;1383;1983;on;hyvä
3;kt;76;1382;1982;on;hyvä
3;rt;80;2275;1983;ei;hyvä
3;kt;75,5;1073;1978;on;tyyd.
3;kt;78;1500;1990;on;tyyd.
3;kt;70;1657;1974;on;hyvä
3;kt;73;1781;1989;on;hyvä
3;rt;78;1538;1979;ei;tyyd.
3;kt;74,5;1477;1974;on;hyvä
3;kt;63;2190;2004;on;hyvä
3;kt;80;1538;1979;on;hyvä
3;kt;77,5;1600;1986;on;hyvä
3;kt;76;1382;1983;on;hyvä
3;kt;73,5;1796;1992;ei;hyvä
3;kt;60;2167;2006;on;hyvä
3;rt;75,5;1841;1978;ei;hyvä
3;kt;75,5;1417;1979;on;hyvä
3;kt;74,5;1074;1974;on;hyvä
3;kt;71;1546;1984;on;hyvä
3;kt;74;1608;1979;on;hyvä
3;kt;71;1338;1979;on;hyvä
3;kt;71,5;1357;1980;on;hyvä
3;rt;71;2880;2018;ei;hyvä
3;kt;79;1987;1990;on;hyvä
3;kt;75,5;1258;1972;on;hyvä
3;rt;82;2793;2017;ei;hyvä
3;kt;76;1118;1980;ei;
3;kt;75;1127;1979;on;tyyd.
3;kt;73,5;1932;1992;ei;hyvä
3;kt;76;1375;1975;on;hyvä
3;kt;74,5;1302;1976;on;tyyd.
3;kt;71;1090;1978;on;tyyd.
3;kt;79;1392;1990;on;tyyd.
3;kt;70;1057;1974;on;hyvä
3;kt;71;1408;1976;on;hyvä
3;kt;76;862;1974;on;
3;kt;74,5;1195;1979;on;hyvä
3;rt;98;2204;1985;ei;hyvä
3;rt;78;2484;2017;ei;hyvä
3;kt;74;1014;1979;on;hyvä
3;rt;75,5;1762;1978;ei;hyvä
3;rt;70;2943;2017;ei;hyvä
3;kt;71;1338;1976;on;
3;kt;60;2123;2006;on;
3;rt;71;2810;2017;ei;hyvä
3;rt;78;1481;1979;ei;tyyd.
3;kt;74,5;1141;1978;on;hyvä
3;rt;77;2948;2017;ei;hyvä
3;kt;76;1566;1983;on;hyvä
4;rt;111;2069;2017;ei;hyvä
4;kt;93;1441;1981;on;tyyd.
4;kt;95,5;1309;1979;ei;hyvä
4;rt;107;1916;1990;ei;tyyd.
4;rt;99;2051;1981;ei;hyvä
4;kt;90;1189;1972;on;hyvä
4;kt;93;1570;1988;ei;hyvä
4;ok;108;2315;1983;ei;hyvä
4;rt;87;2690;2017;ei;hyvä
4;kt;93;1527;1987;ei;hyvä
4;ok;106;2278;1986;ei;hyvä
4;rt;111;2874;2018;ei;hyvä
4;kt;93;1656;1981;on;hyvä
4;ok;137;1679;1977;ei;hyvä
4;rt;107;2056;1990;ei;hyvä
4;rt;90;2878;2018;ei;hyvä
4;kt;133;1165;1978;on;tyyd.
4;kt;96;1469;1983;on;hyvä
4;kt;96;1458;1982;ei;hyvä
4;rt;90;2822;2017;ei;hyvä
4;rt;87;2517;2017;ei;hyvä
4;rt;77;2948;2017;ei;hyvä
4;kt;95;1526;1980;on;hyvä
4;kt;86,5;1792;1986;on;hyvä
4;rt;103;1913;1983;ei;hyvä
4;rt;108;2176;2006;ei;hyvä
4;kt;94;1851;1995;on;hyvä
4;rt;77;2948;2017;ei;hyvä
